"","standard_value","Binary","assay_type","not_sure","rdkit"
"444",8.09341490815624,1,"binding",0,"CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)n(-c2ccc(S(C)(=O)=O)cc2)n1"
"445",9.04845500650403,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(O[C@H](C)C(F)(F)F)nncc2c1"
"446",5.1511952989482,0,"binding",0,"COc1ccc(-n2ncc(C(=O)c3ccccc3)c2N)cc1"
"447",7.15490195998574,1,"binding",1,"Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(OCC(C)(C)CN(C)C)n1"
"448",8.69897000433602,1,"binding",0,"CCNC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4ccnc(N5CCOCC5)c4)ccc3C)c2c1C"
"449",6.95860731484177,0,"binding",1,"CC(C)c1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Cl)c2Cl)cc1"
"450",7.92811799269387,1,"binding",0,"Fc1ccc(-c2ncoc2-c2ccc3nnc(N4CCOCC4)n3c2)cc1"
"451",5.78781239559604,0,"binding",0,"Cc1cccc(-c2[nH]c(CNc3ccccc3NS(C)(=O)=O)nc2-c2ccc3ncnn3c2)n1"
"452",6.08092190762393,0,"binding",1,"COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(F)cc1"
"453",6.99320223823135,0,"binding",1,"CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)C3CC=CC[C@H]3C(=O)O)c2)n1"
"454",6.29413628771608,0,"binding",1,"CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2cccc(CCN)c2)n1"
"455",7.87236374744835,1,"binding",0,"CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)n(-c2ccc(O)cc2)n1"
