biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
-6509066850388922544,CC(C)(N)c1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1,7.376750709602099,1,binding,1
7832824460740870924,COc1cc(N2CCC(N3CCCCC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,6.8860566476931595,0,binding,1
-1259187962354687508,CCOC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4cc(F)cc(N5CCOCC5)c4)ccc3C)c2c1C,8.69897000433602,1,binding,0
-1537844748991446914,O=c1ccc2c(-c3ccccc3)cccc2n1-c1c(Cl)cccc1Cl,7.87289520163519,1,binding,0
4007193603832238158,CC[C@H](C)NC(=O)c1cn2ncnc(Nc3cc(C(=O)NOC)ccc3C)c2c1C,8.52287874528034,1,binding,0
2443827508940511332,CCNC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4cccc(N5CCCC5=O)c4)ccc3C)c2c1C,7.7958800173440705,1,binding,0
1384840859536511108,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,5.4317982759330095,0,binding,0
-6893533902459642328,C[C@H]1CN(C(=O)c2cc3c(C(=O)C(=O)N(C)C)cn(C)c3cc2Cl)[C@H](C)CN1C(c1ccccc1)c1ccccc1,8.04575749056067,1,binding,0
2227273685688340295,O=C(CC1CCCN1)NCCCN(c1ccc(=O)n(-c2ccccc2Cl)n1)c1ccccc1Cl,7.95860731484177,1,binding,0
1455744927078426909,COc1ccccc1N(C(=O)Oc1c(C)cccc1C)c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1,6.376750709602099,0,binding,1
6770212372761826763,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)cc1,6.49485002168009,0,binding,1
9211231844481754498,CC(C)(N)C(=O)NCCOc1cc(-c2ccccc2Cl)c2ccc(=O)n(-c3c(Cl)cccc3Cl)c2c1,9.92081875395237,1,binding,0
810296411272554217,COc1cc(N2CCC(N3CCN(S(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,6.3565473235138095,0,binding,1
