"","A","P","N","margin"
"1443","O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1","CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)Cc3ccccc3)c2)[nH]1","O=C(NCC1CC1)c1ccc(-c2cc(C(=O)NC3CC3)ccc2F)cc1","margin = 0.55"
"1444","O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1","CCNC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)N[C@@H](C)c4ccccc4)c(C)c23)c1","Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1Nc1ccc2c(c1)CCc1ccccc1C2=O","random"
"1445","O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1","Cc1ccc(NC(=O)c2cccc(N3CCOCC3)c2)cc1NC(=O)c1ccc(OCc2cccnc2)cc1","C[S+]([O-])c1ccc(CSc2nc(-c3ccc(Cl)cc3)c(-c3ccncc3)[nH]2)cc1","random"
"1446","O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1","Cc1ccc(NC(=O)c2cc(F)cc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1","CNC(=O)[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1","random"
"1447","O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1","CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)no1","COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(N4CCN(C)CC4)c(OC)c3)n2)c(OC)c1","random"
"1448","O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1","COC(=O)c1cc(-c2ccccc2F)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2","CCOP(=O)(CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)c3ccccc3)c2)[nH]1)OCC","random"
"1449","CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(Cc3ccccc3)CC2)n1","O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ncccc21","margin = 0.35"
"1450","CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","CS(=O)(=O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)cc1","CC1(C)OC[C@H](COc2cccc3c2CCc2cc(Nc4ccccc4N)ccc2C3=O)O1","margin = 0.35"
"1451","CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c(Cl)c2Cl)n(-c2ccc(CO)cc2)n1","O=C1c2ccccc2CCc2cc(Nc3ccc(F)cc3F)ccc21","margin = 0.35"
"1452","CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Nc3ccccc3)n2)cc1","CC1(C)OC[C@@H](COc2ccc3c(c2)COc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","margin = 0.35"
"1453","CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","Cc1ccc2c(NC3CC3)noc2c1-c1ccc2c(c1)NC(=O)C21CCOCC1","COc1ccc2c(c1)COc1cc(Nc3ccc(F)cc3F)ccc1C2=O","margin = 0.35"
"1454","CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","Cc1ccc(C(=O)Nc2cc[nH]n2)cc1Nc1ncnc2c1cnn2-c1ccccc1","O=C(O)c1cccc(-c2nnc3ccc(Sc4ccc(F)cc4F)cn23)c1","random"
"1455","CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","Cc1ccc(C(N)=O)cc1Nc1ncnc2c1cnn2-c1ccccc1","Cc1cccc(-c2[nH]c(CNc3ccccc3C#N)nc2-c2ccc3ncnn3c2)n1","random"
"1456","CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","CNc1ncc2cc(-c3c(C)ccc4c(Nc5ccc6c(c5)NC(=O)C6(C)C)nccc34)ccc2n1","COc1cc2ncnc(Nc3cccc(NC(=O)c4cccc(N(C)C)c4)c3)c2cc1OC","random"
"1457","CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(Cl)c(F)c3)cn12","O=C(NCC1CC1)c1ccc(-c2cc(C(=O)NC3CC3)ccc2Cl)cc1","random"
"1458","CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1","CONC(=O)c1ccc(C)c(Nc2nc(N(C)CC(C)(C)C)nc(N3CCNCC3)n2)c1","CCOc1ccccc1-c1cc(-c2ccc(Cl)cc2)[nH]c1-c1ccncc1","random"
"1459","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC1","CCC(C)Nc1cc(-c2[nH]c(SCC(O)CO)nc2-c2ccc(F)cc2)ccn1","O=C(NC1CC1)c1cccc(-c2ccc3c(c2)NC(=O)C32CCCC2)c1","margin = 0.35"
"1460","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC1","O=C(Nc1cc(Nc2ccc3c(c2)CCc2ccccc2C3=O)ccc1F)c1ccoc1","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NN)cc1","margin = 0.35"
"1461","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC1","CC(C)Nc1cc(-c2[nH]c([S+]([O-])C(C)C)nc2-c2ccc(F)cc2)ccn1","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCCCO)cc1","margin = 0.35"
"1462","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC1","Cc1cccc(NC(=O)Nc2sc(C(C)(C)C)cc2C(=O)N2CCNC(=O)CC2)c1","Cc1nc(-c2ccc(C)c(-c3ccc4c(c3)NC(=O)C43CCCC3)c2)no1","margin = 0.35"
"1463","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC1","CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)n(-c2ccc(Cl)cc2)n1","Cc1noc(-c2ccc(C)c(-c3ccc4c(c3)NC(=O)C43CCCC3)c2)n1","margin = 0.35"
"1464","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC1","O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(C4CCC4)CC3)cc2N1c1c(Cl)cccc1Cl","Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCc3ccccn3)c3ccccc23)cc1","random"
"1465","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC1","COc1cc(Nc2ncnc(-n3c(Nc4c(C)cccc4C)nc4ccccc43)n2)cc(OC)c1OC","O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1c(Cl)cccc1Cl","random"
